symbol,company_name,market,large_sector_id,census_status,assessment_depth,base_stage,investigation_status,transition_overlay,stage_confidence,score_valid_status,trigger_priority_score,verified_score,provisional_score,score_interval_lower,score_interval_upper,accepted_claim_count,score_contribution_count,recent_event_count,primary_archetype,failed_stage_gates,missing_primitives,provider_gaps,source_gaps,next_actions
000660,SK하이닉스,,메모리/HBM,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000670,영풍,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000680,LS네트웍스,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000700,유수홀딩스,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000720,현대건설,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000760,이화산업,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000810,삼성화재,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000850,화천기공,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000860,강남제비스코,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000880,한화,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000890,보해양조,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000910,유니온,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000950,전방,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000970,한국주철관,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
000990,DB하이텍,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
001000,신라섬유,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
001020,페이퍼코리아,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
001040,CJ,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
001060,JW중외제약,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
001070,대한방직,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
001080,만호제강,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
001120,LX인터내셔널,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
001130,대한제분,,,SCANNED,CHEAP_BASELINE,Stage0,NO_CURRENT_CATALYST,NONE,LOW,NO_CURRENT_EVENT,0.0,,,,,0,0,0,,,,,,IGNORE
